,id,ico_id,ico_symbol,date,open,close,low,high,created_at,updated_at,volume,btc_open,btc_close,btc_low,btc_high,value_from_coinmarketcap,currency
51208,3137046,3306,ETH,2019-05-27 00:00:00,250.2299957275,264.3500061035,245.3099975586,269.2300109863,2019-11-21 12:03:45,2019-11-21 12:03:45,357351.53125,,,,,0,USD
51209,3137047,3306,ETH,2019-05-28 00:00:00,264.3599853516,270.7099914551,262.3699951172,279.6199951172,2019-11-21 12:03:45,2019-11-21 12:03:45,477350.0625,,,,,0,USD
51210,3137048,3306,ETH,2019-05-29 00:00:00,270.700012207,271.5,265.0799865723,275.9899902344,2019-11-21 12:03:45,2019-11-21 12:03:45,324611.03125,,,,,0,USD
51211,3137049,3306,ETH,2019-05-30 00:00:00,271.1799926758,268.6000061035,260.3900146484,274.0,2019-11-21 12:03:45,2019-11-21 12:03:45,298041.71875,,,,,0,USD
51212,3137050,3306,ETH,2019-05-31 00:00:00,268.6000061035,254.4600067139,240.0,288.1799926758,2019-11-21 12:03:45,2019-11-21 12:03:45,739883.0,,,,,0,USD
51213,3137051,3306,ETH,2019-06-01 00:00:00,254.4700012207,267.9800109863,245.3800048828,269.0,2019-11-21 12:03:45,2019-11-21 12:03:45,432854.46875,,,,,0,USD
51214,3137052,3306,ETH,2019-06-02 00:00:00,267.9299926758,264.3399963379,260.8200073242,275.4899902344,2019-11-21 12:03:45,2019-11-21 12:03:45,290558.84375,,,,,0,USD
51215,3137053,3306,ETH,2019-06-03 00:00:00,264.3200073242,269.0799865723,263.3500061035,272.8999938965,2019-11-21 12:03:45,2019-11-21 12:03:45,193354.125,,,,,0,USD
51216,3137054,3306,ETH,2019-06-04 00:00:00,269.0799865723,250.1000061035,248.0700073242,270.0,2019-11-21 12:03:45,2019-11-21 12:03:45,252064.671875,,,,,0,USD
51217,3137055,3306,ETH,2019-06-05 00:00:00,250.1000061035,241.4400024414,234.7599945068,251.6399993896,2019-11-21 12:03:45,2019-11-21 12:03:45,389786.875,,,,,0,USD
51218,3137056,3306,ETH,2019-06-06 00:00:00,241.4199981689,245.7700042725,237.4600067139,248.6600036621,2019-11-21 12:03:45,2019-11-21 12:03:45,224616.765625,,,,,0,USD
51219,3137057,3306,ETH,2019-06-07 00:00:00,245.8000030518,248.5,235.7100067139,250.0,2019-11-21 12:03:45,2019-11-21 12:03:45,188493.4375,,,,,0,USD
51220,3137058,3306,ETH,2019-06-08 00:00:00,248.5,248.9100036621,243.8200073242,253.1199951172,2019-11-21 12:03:45,2019-11-21 12:03:45,212831.234375,,,,,0,USD
51221,3137059,3306,ETH,2019-06-09 00:00:00,248.8999938965,243.3300018311,240.8999938965,250.4299926758,2019-11-21 12:03:45,2019-11-21 12:03:45,123341.6015625,,,,,0,USD
51222,3137060,3306,ETH,2019-06-10 00:00:00,243.3099975586,231.0800018311,226.6900024414,244.4700012207,2019-11-21 12:03:45,2019-11-21 12:03:45,193810.859375,,,,,0,USD
51223,3137061,3306,ETH,2019-06-11 00:00:00,231.0700073242,246.8399963379,227.2100067139,247.0,2019-11-21 12:03:45,2019-11-21 12:03:45,199181.171875,,,,,0,USD
51224,3137062,3306,ETH,2019-06-12 00:00:00,246.8099975586,244.2200012207,237.0500030518,247.8399963379,2019-11-21 12:03:45,2019-11-21 12:03:45,149769.21875,,,,,0,USD
51225,3137063,3306,ETH,2019-06-13 00:00:00,244.25,261.6499938965,242.4199981689,261.8999938965,2019-11-21 12:03:45,2019-11-21 12:03:45,205154.46875,,,,,0,USD
51226,3137064,3306,ETH,2019-06-14 00:00:00,261.3500061035,254.75,253.8099975586,262.9299926758,2019-11-21 12:03:45,2019-11-21 12:03:45,187502.203125,,,,,0,USD
51227,3137065,3306,ETH,2019-06-15 00:00:00,254.7299957275,262.3200073242,252.0599975586,264.1000061035,2019-11-21 12:03:45,2019-11-21 12:03:45,257346.140625,,,,,0,USD
